FPR;Precision
0.542;0.002
0.542;0.002
0.541;0.002
0.541;0.002
0.54;0.002
0.54;0.002
0.54;0.002
0.539;0.002
0.539;0.002
0.538;0.002
0.538;0.002
0.538;0.002
0.537;0.002
0.537;0.002
0.537;0.002
0.536;0.002
0.536;0.002
0.535;0.002
0.535;0.002
0.534;0.002
0.534;0.002
0.534;0.002
0.533;0.002
0.533;0.002
0.533;0.002
0.532;0.002
0.532;0.002
0.532;0.002
0.531;0.002
0.531;0.002
0.53;0.002
0.53;0.002
0.53;0.002
0.529;0.002
0.529;0.002
0.528;0.002
0.528;0.002
0.527;0.002
0.527;0.002
0.527;0.002
0.526;0.002
0.526;0.002
0.525;0.002
0.525;0.002
0.525;0.002
0.524;0.002
0.524;0.002
0.524;0.002
0.523;0.002
0.523;0.002
0.523;0.002
0.522;0.002
0.522;0.002
0.521;0.002
0.521;0.002
0.521;0.002
0.52;0.002
0.52;0.002
0.52;0.002
0.519;0.002
0.519;0.003
0.519;0.003
0.518;0.003
0.518;0.003
0.518;0.003
0.517;0.003
0.517;0.003
0.516;0.003
0.516;0.003
0.516;0.003
0.515;0.003
0.515;0.003
0.514;0.003
0.514;0.003
0.514;0.003
0.513;0.003
0.513;0.003
0.513;0.003
0.512;0.003
0.512;0.003
0.512;0.003
0.512;0.003
0.511;0.003
0.511;0.003
0.51;0.003
0.51;0.003
0.51;0.003
0.509;0.003
0.509;0.003
0.509;0.003
0.508;0.003
0.508;0.003
0.508;0.003
0.507;0.003
0.507;0.003
0.507;0.003
0.506;0.003
0.506;0.003
0.506;0.003
0.505;0.003
0.505;0.003
0.505;0.003
0.505;0.003
0.504;0.003
0.504;0.003
0.503;0.003
0.503;0.003
0.503;0.003
0.502;0.003
0.502;0.003
0.502;0.003
0.502;0.003
0.501;0.003
0.501;0.003
0.501;0.003
0.5;0.003
0.5;0.003
0.5;0.003
0.499;0.003
0.499;0.003
0.498;0.003
0.498;0.003
0.498;0.003
0.497;0.003
0.497;0.003
0.497;0.003
0.496;0.003
0.496;0.003
0.496;0.003
0.495;0.003
0.495;0.003
0.495;0.003
0.494;0.003
0.494;0.003
0.494;0.003
0.493;0.003
0.493;0.003
0.493;0.003
0.492;0.003
0.492;0.003
0.492;0.003
0.492;0.003
0.491;0.003
0.491;0.003
0.491;0.003
0.49;0.003
0.49;0.003
0.49;0.003
0.489;0.003
0.489;0.003
0.489;0.003
0.488;0.003
0.488;0.003
0.488;0.003
0.487;0.003
0.487;0.003
0.487;0.003
0.486;0.003
0.486;0.003
0.486;0.003
0.485;0.003
0.485;0.003
0.485;0.003
0.484;0.003
0.484;0.003
0.484;0.003
0.483;0.003
0.483;0.003
0.483;0.003
0.482;0.003
0.482;0.003
0.482;0.003
0.482;0.003
0.481;0.003
0.481;0.003
0.481;0.003
0.481;0.003
0.48;0.003
0.48;0.003
0.48;0.003
0.479;0.003
0.479;0.003
0.479;0.003
0.478;0.003
0.478;0.003
0.478;0.003
0.478;0.003
0.477;0.003
0.477;0.003
0.477;0.003
0.477;0.003
0.476;0.003
0.476;0.003
0.476;0.003
0.475;0.003
0.475;0.003
0.475;0.003
0.475;0.003
0.474;0.003
0.474;0.003
0.474;0.003
0.473;0.003
0.473;0.003
0.473;0.003
0.472;0.003
0.472;0.003
0.472;0.003
0.472;0.003
